"JURISDICTION.NAME","COUNT.PARTICIPANTS","COUNT.FEMALE","COUNT.MALE","COUNT.GENDER.UNKNOWN","COUNT.GENDER.TOTAL","COUNT.PACIFIC.ISLANDER","COUNT.HISPANIC.LATINO","COUNT.AMERICAN.INDIAN","COUNT.ASIAN.NON.HISPANIC","COUNT.WHITE.NON.HISPANIC","COUNT.BLACK.NON.HISPANIC","COUNT.OTHER.ETHNICITY","COUNT.ETHNICITY.UNKNOWN","COUNT.ETHNICITY.TOTAL","COUNT.PERMANENT.RESIDENT.ALIEN","COUNT.US.CITIZEN","COUNT.OTHER.CITIZEN.STATUS","COUNT.CITIZEN.STATUS.UNKNOWN","COUNT.CITIZEN.STATUS.TOTAL","COUNT.RECEIVES.PUBLIC.ASSISTANCE","COUNT.NRECEIVES.PUBLIC.ASSISTANCE","COUNT.PUBLIC.ASSISTANCE.UNKNOWN","COUNT.PUBLIC.ASSISTANCE.TOTAL"
10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1
11102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11201,11,6,5,0,11,0,2,0,1,1,5,2,0,11,0,11,0,0,11,2,9,0,11
11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11203,15,12,3,0,15,0,2,0,1,2,8,2,0,15,1,14,0,0,15,1,14,0,15
11204,37,17,20,0,37,0,0,0,0,36,0,1,0,37,1,36,0,0,37,19,18,0,37
11205,5,5,0,0,5,0,0,0,0,4,0,1,0,5,0,5,0,0,5,3,2,0,5
11206,13,3,10,0,13,0,0,0,0,13,0,0,0,13,0,13,0,0,13,9,4,0,13
11207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11210,36,12,24,0,36,0,0,0,0,33,0,3,0,36,0,36,0,0,36,11,25,0,36
11211,34,31,3,0,34,0,2,0,1,28,1,2,0,34,0,34,0,0,34,22,12,0,34
11212,10,8,2,0,10,0,1,0,1,0,7,1,0,10,1,9,0,0,10,0,10,0,10
11213,38,17,21,0,38,0,0,0,0,32,0,6,0,38,1,37,0,0,38,10,28,0,38
11214,10,7,3,0,10,0,0,0,5,4,1,0,0,10,0,10,0,0,10,2,8,0,10
11215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11218,111,97,14,0,111,0,1,0,3,95,6,6,0,111,8,102,1,0,111,51,60,0,111
11219,214,182,32,0,214,0,1,0,1,205,0,6,1,214,2,212,0,0,214,112,102,0,214
11220,8,1,7,0,8,0,0,0,1,6,0,1,0,8,0,8,0,0,8,5,3,0,8
11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11223,109,53,56,0,109,0,1,0,7,95,1,5,0,109,6,102,1,0,109,20,89,0,109
11224,93,53,40,0,93,0,14,0,7,4,60,8,0,93,6,86,1,0,93,28,65,0,93
11225,52,52,0,0,52,0,0,0,0,52,0,0,0,52,0,52,0,0,52,22,30,0,52
11226,10,7,3,0,10,0,6,0,0,0,4,0,0,10,0,10,0,0,10,4,6,0,10
11228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11229,52,32,20,0,52,0,2,0,5,39,2,3,1,52,3,49,0,0,52,5,47,0,52
11230,248,194,54,0,248,0,1,0,7,216,2,17,5,248,3,245,0,0,248,42,206,0,248
11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11233,14,6,8,0,14,0,0,0,0,4,9,1,0,14,0,14,0,0,14,5,9,0,14
